name_with_owner,url,stars,created_at,pushed_at,closed_issues,total_issues,age_years,age_days,merged_pull_requests,releases,days_since_update,primary_language,closed_issues_ratio
LAION-AI/Open-Assistant,https://github.com/LAION-AI/Open-Assistant,37407,2022-12-13T05:24:17+00:00,2024-08-17T01:55:35+00:00,1420,1649,3.68,1344.72,1616,127,731.87,Python,0.8611
stanfordnlp/dspy,https://github.com/stanfordnlp/dspy,37392,2023-01-09T21:01:51+00:00,2026-08-18T20:44:41+00:00,1343,1656,3.61,1317.07,1702,110,0.09,Python,0.811
exacity/deeplearningbook-chinese,https://github.com/exacity/deeplearningbook-chinese,37361,2016-12-07T11:46:51+00:00,2019-12-03T04:25:44+00:00,139,204,9.7,3541.46,16,7,2450.77,TeX,0.6814
pbatard/rufus,https://github.com/pbatard/rufus,37339,2011-11-19T19:12:05+00:00,2026-08-03T11:33:58+00:00,2688,2697,14.75,5386.15,1,90,15.47,C,0.9967
eugenp/tutorials,https://github.com/eugenp/tutorials,37324,2013-04-29T18:26:36+00:00,2026-08-18T20:04:28+00:00,778,791,13.3,4859.18,13834,0,0.11,Java,0.9836
openai/gym,https://github.com/openai/gym,37240,2016-04-27T14:59:16+00:00,2026-03-26T23:13:27+00:00,1725,1838,10.31,3765.33,1000,19,144.98,Python,0.9385
0voice/interview_internal_reference,https://github.com/0voice/interview_internal_reference,37233,2019-06-10T06:54:19+00:00,2025-10-22T09:39:06+00:00,19,51,7.19,2626.66,35,0,300.55,Python,0.3725
myshell-ai/OpenVoice,https://github.com/myshell-ai/OpenVoice,37156,2023-11-29T12:17:01+00:00,2025-04-19T16:00:00+00:00,75,359,2.72,993.44,18,0,486.28,Python,0.2089
SagerNet/sing-box,https://github.com/SagerNet/sing-box,37105,2022-06-30T13:27:22+00:00,2026-08-17T09:46:55+00:00,3017,3285,4.14,1510.39,210,584,1.54,Go,0.9184
IceWhaleTech/CasaOS,https://github.com/IceWhaleTech/CasaOS,37091,2021-09-26T02:33:09+00:00,2025-08-06T08:54:04+00:00,904,1721,4.89,1787.84,275,97,377.58,Go,0.5253
huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,37071,2019-02-02T05:51:12+00:00,2026-08-11T20:56:26+00:00,994,1036,7.54,2754.71,559,78,7.08,Python,0.9595
markedjs/marked,https://github.com/markedjs/marked,37062,2011-07-24T13:15:51+00:00,2026-08-18T16:36:02+00:00,1677,1685,15.07,5504.4,1740,179,0.26,JavaScript,0.9953
satwikkansal/wtfpython,https://github.com/satwikkansal/wtfpython,37059,2017-08-28T20:22:19+00:00,2026-01-13T19:49:12+00:00,158,226,8.97,3277.1,113,2,217.12,Python,0.6991
